,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
521,Khabarovsk Krai,Russia,2021-04-01 04:27:05,51.6312684,136.121524,50641,346,48230.0,2065.0,"Khabarovsk Krai, Russia",3812.461322801592,0.6832408522738492
522,Khakassia Republic,Russia,2021-04-01 04:27:05,53.72258845,91.44293627,21849,504,21082.0,263.0,"Khakassia Republic, Russia",4064.831920344252,2.3067417273101745
523,Khanty-Mansi Autonomous Okrug,Russia,2021-04-01 04:27:05,61.0259025,69.0982628,54175,782,52662.0,731.0,"Khanty-Mansi Autonomous Okrug, Russia",3535.666340130123,1.443470235348408
524,Kirov Oblast,Russia,2021-04-01 04:27:05,57.9665589,49.4074599,39754,324,36120.0,3310.0,"Kirov Oblast, Russia",3097.9444187282484,0.8150123258036928
525,Komi Republic,Russia,2021-04-01 04:27:05,63.9881421,54.3326073,41616,805,40420.0,391.0,"Komi Republic, Russia",4949.142141560022,1.9343521722414456
526,Kostroma Oblast,Russia,2021-04-01 04:27:05,58.424756,44.2533273,19657,390,16884.0,2383.0,"Kostroma Oblast, Russia",3055.536557007045,1.9840260467009208
527,Krasnodar Krai,Russia,2021-04-01 04:27:05,45.7684014,39.0261044,42369,2322,37232.0,2815.0,"Krasnodar Krai, Russia",756.1275078434242,5.48042200665581
528,Krasnoyarsk Krai,Russia,2021-04-01 04:27:05,63.3233807,97.0979974,66784,3162,61816.0,1806.0,"Krasnoyarsk Krai, Russia",2321.712833352512,4.734666986104457
529,Kurgan Oblast,Russia,2021-04-01 04:27:05,55.7655302,64.5632681,19221,352,17492.0,1377.0,"Kurgan Oblast, Russia",2273.2299118784867,1.8313303158004264
530,Kursk Oblast,Russia,2021-04-01 04:27:05,51.6568453,36.4852695,34014,574,30772.0,2668.0,"Kursk Oblast, Russia",3049.9346775618096,1.6875404245310754
531,Leningrad Oblast,Russia,2021-04-01 04:27:05,60.1853296,32.3925325,39866,932,37316.0,1618.0,"Leningrad Oblast, Russia",2197.90761576698,2.337831736316661
532,Lipetsk Oblast,Russia,2021-04-01 04:27:05,52.6935178,39.1122664,27606,530,24350.0,2726.0,"Lipetsk Oblast, Russia",2400.102242999267,1.9198724914873573
533,Magadan Oblast,Russia,2021-04-01 04:27:05,62.48858785,153.9903764,8255,99,8035.0,121.0,"Magadan Oblast, Russia",5729.018467496235,1.199273167777105
534,Mari El Republic,Russia,2021-04-01 04:27:05,56.5767504,47.8817512,12542,205,11672.0,665.0,"Mari El Republic, Russia",1838.105441184876,1.6345080529421143
535,Mordovia Republic,Russia,2021-04-01 04:27:05,54.4419829,44.4661144,19052,203,17039.0,1810.0,"Mordovia Republic, Russia",2366.5434454249144,1.065504933865211
536,Moscow,Russia,2021-04-01 04:27:05,55.7504461,37.6174943,1026740,16656,944738.0,65346.0,"Moscow, Russia",8209.671987326878,1.6222217893527089
537,Moscow Oblast,Russia,2021-04-01 04:27:05,55.50431579999999,38.0353929,232261,5441,190628.0,36192.0,"Moscow Oblast, Russia",3095.416268790686,2.3426231696238284
538,Murmansk Oblast,Russia,2021-04-01 04:27:05,68.00004179999999,33.9999151,49068,1080,46965.0,1023.0,"Murmansk Oblast, Russia",6511.518040440205,2.201027146001467
539,Nenets Autonomous Okrug,Russia,2021-04-01 04:27:05,68.27557185,57.1686375,1082,4,1019.0,59.0,"Nenets Autonomous Okrug, Russia",2459.258585812669,0.3696857670979667
540,Nizhny Novgorod Oblast,Russia,2021-04-01 04:27:05,55.47180329999999,44.0911594,107452,2847,101555.0,3050.0,"Nizhny Novgorod Oblast, Russia",3321.8002492926817,2.649555150206604
541,North Ossetia - Alania Republic,Russia,2021-04-01 04:27:05,42.79336110000001,44.6324493,16339,161,15361.0,817.0,"North Ossetia - Alania Republic, Russia",2328.272284881691,0.9853724218128403
542,Novgorod Oblast,Russia,2021-04-01 04:27:05,58.2843833,32.5169757,28674,121,25749.0,2804.0,"Novgorod Oblast, Russia",4727.969449739149,0.4219850735858269
543,Novosibirsk Oblast,Russia,2021-04-01 04:27:05,54.9720169,79.48139240000002,38774,1625,35949.0,1200.0,"Novosibirsk Oblast, Russia",1390.3226743362584,4.190952700263063
544,Omsk Oblast,Russia,2021-04-01 04:27:05,56.09352629999999,73.5099936,43776,1316,40523.0,1937.0,"Omsk Oblast, Russia",2233.377090028422,3.006213450292398
545,Orel Oblast,Russia,2021-04-01 04:27:05,52.96854329999999,36.0692477,32432,501,29746.0,2185.0,"Orel Oblast, Russia",4340.198087111759,1.5447705969412926
546,Orenburg Oblast,Russia,2021-04-01 04:27:05,52.02692620000001,54.7276647,40013,733,36637.0,2643.0,"Orenburg Oblast, Russia",2023.1883178609712,1.8319046309949267
547,Penza Oblast,Russia,2021-04-01 04:27:05,53.1655415,44.78791810000001,42019,530,38783.0,2706.0,"Penza Oblast, Russia",3155.3968557922285,1.2613341583569335
548,Perm Krai,Russia,2021-04-01 04:27:05,58.5951603,56.3159546,51249,1956,45575.0,3718.0,"Perm Krai, Russia",1953.7406190028523,3.816659837265117
549,Primorsky Krai,Russia,2021-04-01 04:27:05,45.0819456,134.726645,42358,678,38697.0,2983.0,"Primorsky Krai, Russia",2214.1756798221886,1.6006421455215072
550,Pskov Oblast,Russia,2021-04-01 04:27:05,57.5358729,28.8586826,34266,244,23527.0,10495.0,"Pskov Oblast, Russia",5383.114496045848,0.712076110430164
551,Rostov Oblast,Russia,2021-04-01 04:27:05,47.6222451,40.7957942,80836,3577,72661.0,4598.0,"Rostov Oblast, Russia",1915.339873549089,4.42500865950814
552,Ryazan Oblast,Russia,2021-04-01 04:27:05,54.42267320000001,40.57052460000001,26315,366,24363.0,1586.0,"Ryazan Oblast, Russia",2346.465455284741,1.3908417252517575
553,Saint Petersburg,Russia,2021-04-01 04:27:05,59.9606739,30.158655100000004,394631,12270,347480.0,34881.0,"Saint Petersburg, Russia",7373.613468773444,3.1092336891931955
554,Sakha (Yakutiya) Republic,Russia,2021-04-01 04:27:05,66.941626,129.642371,33565,550,32445.0,570.0,"Sakha (Yakutiya) Republic, Russia",3480.6549625128328,1.6386116490391778
555,Sakhalin Oblast,Russia,2021-04-01 04:27:05,49.7219665,143.448533,22001,39,21662.0,300.0,"Sakhalin Oblast, Russia",4488.342061401809,0.1772646697877369
556,Samara Oblast,Russia,2021-04-01 04:27:05,53.2128813,50.8914633,55731,1098,52443.0,2190.0,"Samara Oblast, Russia",1745.1309122177013,1.970178177316036
557,Saratov Oblast,Russia,2021-04-01 04:27:05,51.6520555,46.86319520000001,54784,815,49483.0,4486.0,"Saratov Oblast, Russia",2224.3244889258817,1.4876606308411215
558,Smolensk Oblast,Russia,2021-04-01 04:27:05,55.03434960000001,33.0192065,28168,758,26842.0,568.0,"Smolensk Oblast, Russia",2967.0889916026576,2.690996875887532
559,Stavropol Krai,Russia,2021-04-01 04:27:05,44.86325770000001,43.4406913,50442,1227,47472.0,1743.0,"Stavropol Krai, Russia",1801.0664575741412,2.4324967289163792
560,Sverdlovsk Oblast,Russia,2021-04-01 04:27:05,58.6414755,61.8021546,82516,2735,75855.0,3926.0,"Sverdlovsk Oblast, Russia",1907.771470636652,3.31450870134277
561,Tambov Oblast,Russia,2021-04-01 04:27:05,52.9019574,41.3578918,29408,409,26886.0,2113.0,"Tambov Oblast, Russia",2845.33337461492,1.3907780195865072
562,Tatarstan Republic,Russia,2021-04-01 04:27:05,55.7648572,52.43104273,19420,417,16322.0,2681.0,"Tatarstan Republic, Russia",498.6796032338679,2.147270854788877
563,Tomsk Oblast,Russia,2021-04-01 04:27:05,58.6124279,82.04753149999998,31387,356,30294.0,737.0,"Tomsk Oblast, Russia",2910.8394851059093,1.1342275464364229
564,Tula Oblast,Russia,2021-04-01 04:27:05,53.9570701,37.3690909,36235,1545,33660.0,1030.0,"Tula Oblast, Russia",2428.855351223812,4.263833310335311
565,Tver Oblast,Russia,2021-04-01 04:27:05,57.1134475,35.174442799999994,37394,731,35340.0,1323.0,"Tver Oblast, Russia",2912.593379563244,1.954859068299728
566,Tyumen Oblast,Russia,2021-04-01 04:27:05,58.8206488,70.36588370000001,33599,386,31669.0,1544.0,"Tyumen Oblast, Russia",909.9501679124688,1.1488437155867737
567,Tyva Republic,Russia,2021-04-01 04:27:05,51.4017149,93.8582593,15761,197,14907.0,657.0,"Tyva Republic, Russia",4898.950025177016,1.2499206903115283
568,Udmurt Republic,Russia,2021-04-01 04:27:05,57.1961165,52.69598320000001,30672,756,27275.0,2641.0,"Udmurt Republic, Russia",2027.1717147683744,2.464788732394366
569,Ulyanovsk Oblast,Russia,2021-04-01 04:27:05,54.1463177,47.2324921,50824,969,47488.0,2367.0,"Ulyanovsk Oblast, Russia",4076.950597536695,1.9065795687076967
570,Vladimir Oblast,Russia,2021-04-01 04:27:05,56.0503336,40.6561633,29981,997,27038.0,1946.0,"Vladimir Oblast, Russia",2175.1574542365183,3.325439444981822
571,Volgograd Oblast,Russia,2021-04-01 04:27:05,49.6048339,44.29035820000001,53623,955,51314.0,1354.0,"Volgograd Oblast, Russia",2126.8199118224265,1.7809522033455794
572,Vologda Oblast,Russia,2021-04-01 04:27:05,60.0391461,43.1215213,42714,902,39805.0,2007.0,"Vologda Oblast, Russia",3630.016087513353,2.111719810834855
573,Voronezh Oblast,Russia,2021-04-01 04:27:05,50.9800393,40.15065070000001,75155,2401,69769.0,2985.0,"Voronezh Oblast, Russia",3220.328670202008,3.194730889495044
574,Yamalo-Nenets Autonomous Okrug,Russia,2021-04-01 04:27:05,67.1471631,74.3415488,37991,407,36554.0,1030.0,"Yamalo-Nenets Autonomous Okrug, Russia",7054.351802163971,1.0713063620331131
575,Yaroslavl Oblast,Russia,2021-04-01 04:27:05,57.77819760000001,39.0021095,36094,482,34427.0,1185.0,"Yaroslavl Oblast, Russia",2851.73866462719,1.3354020058735523
576,Zabaykalsky Krai,Russia,2021-04-01 04:27:05,52.248521,115.956325,41050,590,39556.0,904.0,"Zabaykalsky Krai, Russia",3826.414095372322,1.4372716199756397
577,,Rwanda,2021-04-01 04:27:05,-1.9403,29.8739,21783,307,20182.0,1294.0,Rwanda,168.17980624000123,1.4093559197539365
578,,Saint Kitts and Nevis,2021-04-01 04:27:05,17.357822,-62.782998,44,0,43.0,1.0,Saint Kitts and Nevis,82.7192058956234,0.0
579,,Saint Lucia,2021-04-01 04:27:05,13.9094,-60.9789,4238,60,4142.0,36.0,Saint Lucia,2307.914327257677,1.4157621519584709
580,,Saint Vincent and the Grenadines,2021-04-01 04:27:05,12.9843,-61.2872,1748,10,1587.0,151.0,Saint Vincent and the Grenadines,1575.5270534579574,0.5720823798627003
581,,Samoa,2021-04-01 04:27:05,-13.759,-172.1046,3,0,2.0,1.0,Samoa,1.5295977158007443,0.0
582,,San Marino,2021-04-01 04:27:05,43.9424,12.4578,4732,84,4128.0,520.0,San Marino,13943.0726619129,1.7751479289940828
583,,Sao Tome and Principe,2021-04-01 04:27:05,0.1864,6.6131,2223,34,2092.0,97.0,Sao Tome and Principe,1014.32280378352,1.5294646873594242
584,,Saudi Arabia,2021-04-01 04:27:05,23.885942,45.079162,390007,6669,378083.0,5255.0,Saudi Arabia,1120.263370914814,1.7099693082431853
585,,Senegal,2021-04-01 04:27:05,14.4974,-14.4524,38705,1051,37321.0,333.0,Senegal,231.1583959082485,2.7154114455496705
586,,Serbia,2021-04-01 04:27:05,44.0165,21.0059,600596,5308,0.0,595288.0,Serbia,6873.876235068447,0.8837887698219768
587,,Seychelles,2021-04-01 04:27:05,-4.6796,55.492,4114,20,3745.0,349.0,Seychelles,4183.4451901566,0.4861448711716091
588,,Sierra Leone,2021-04-01 04:27:05,8.460555000000001,-11.779889,3980,79,2812.0,1089.0,Sierra Leone,49.89353747061077,1.984924623115578
589,,Singapore,2021-04-01 04:27:05,1.2833,103.8333,60381,30,60149.0,202.0,Singapore,1032.093331963613,0.0496845034033884
590,,Slovakia,2021-04-01 04:27:05,48.669,19.699,707876,9719,255300.0,442857.0,Slovakia,12965.6096561625,1.3729805785194018
591,,Slovenia,2021-04-01 04:27:05,46.1512,14.9955,215602,4047,198524.0,13031.0,Slovenia,10370.805779121203,1.877069785994564
592,,Solomon Islands,2021-04-01 04:27:05,-9.6457,160.1562,19,0,18.0,1.0,Solomon Islands,2.9102806429575803,0.0
593,,Somalia,2021-04-01 04:27:05,5.152149,46.199616,11398,529,4819.0,6050.0,Somalia,71.71611993769167,4.641165116687138
594,,South Africa,2021-04-01 04:27:05,-30.5595,22.9375,1548157,52846,1474319.0,20992.0,South Africa,2610.337540754989,3.413478090400392
595,,South Sudan,2021-04-01 04:27:05,6.877000000000002,31.307,10165,109,9668.0,388.0,South Sudan,90.80977393681766,1.072306935563207
596,Andalusia,Spain,2021-04-01 04:27:05,37.5443,-4.7278,505796,9206,10671.0,485919.0,"Andalusia, Spain",6001.800079621188,1.8201013847480008
597,Aragon,Spain,2021-04-01 04:27:05,41.5976,-0.9057,110894,3344,3772.0,103778.0,"Aragon, Spain",8397.332699271385,3.015492271899291
598,Asturias,Spain,2021-04-01 04:27:05,43.3614,-5.8593,47263,1891,1063.0,44309.0,"Asturias, Spain",4623.632245978058,4.001015593593297
599,Baleares,Spain,2021-04-01 04:27:05,39.710358,2.995148,57676,777,1533.0,55366.0,"Baleares, Spain",4853.983269091583,1.3471808031070116
